Epoch,Loss,Accuracy,AUC
1,38.34,0.51,0.74
2,37.09,0.53,0.77
3,36.17,0.55,0.78
4,36.46,0.55,0.78
5,36.71,0.54,0.79
6,35.33,0.56,0.79
7,35.55,0.55,0.80
8,34.39,0.59,0.80
9,35.78,0.56,0.80
10,35.21,0.56,0.80
11,35.64,0.56,0.81
12,35.11,0.56,0.81
13,34.22,0.58,0.81
14,35.14,0.56,0.81
15,33.69,0.59,0.82
16,35.13,0.56,0.82
17,35.07,0.56,0.82
18,34.31,0.57,0.82
19,34.17,0.57,0.82
20,34.71,0.57,0.82
21,34.05,0.58,0.82
22,34.07,0.57,0.82
23,33.07,0.60,0.83
24,33.52,0.59,0.83
25,33.43,0.59,0.83
26,34.99,0.57,0.83
27,33.57,0.58,0.83
28,34.12,0.57,0.83
29,33.60,0.58,0.83
30,32.47,0.62,0.83
