perf,e,d,seed
0.6914917050801882,,,42
0.6842801666186498,30.0,0.1,42
0.6870891553826947,30.0,0.01,42
0.6870891553826947,30.0,0.001,42
0.6866840127724959,30.0,0.0001,42
0.6846853092288485,20.0,0.1,42
0.6870891553826947,20.0,0.01,42
0.6866840127724959,20.0,0.001,42
0.6870891553826947,20.0,0.0001,42
0.6870891553826947,10.0,0.1,42
0.6870891553826947,10.0,0.01,42
0.6870891553826947,10.0,0.001,42
0.6842801666186498,10.0,0.0001,42
0.6874318760203592,1.0,0.1,42
0.6894930015365409,1.0,0.01,42
0.7114214203399596,1.0,0.001,42
0.6974388984922693,1.0,0.0001,42
